"AREA","PERIMETER","JUNK_","JUNK_ID","PLACENAME"
"264",0.732,4.159,"266","3","Asia"
"265",0.133,2.146,"267","1","Africa"
"266",10.28,23.248,"268","3","Asia"
"267",0.139,1.422,"269","3","Asia"
"268",0.2,1.987,"270","3","Asia"
"269",0.231,2.823,"271","5","Oceania East"
"270",0.365,3.116,"272","3","Asia"
"271",0.279,2.516,"273","3","Asia"
"272",0.006,0.643,"274","3","Asia"
"273",0.952,3.904,"275","3","Asia"
"274",0.327,3.608,"276","5","Oceania East"
"275",0.432,3.073,"277","3","Asia"
"276",1.176,8.157,"278","3","Asia"
"277",1.196,7.76,"279","3","Asia"
"278",0.389,2.771,"280","3","Asia"
"279",0.338,3.4,"281","5","Oceania East"
"280",2.368,9.473,"282","3","Asia"
"281",0.042,0.851,"283","3","Asia"
"282",0.021,0.738,"284","3","Asia"
"283",0.002,0.209,"285","5","Oceania East"
"284",0.014,0.526,"286","3","Asia"
"285",0.001,0.109,"287","5","Oceania West"
"286",0.449,3.111,"288","5","Oceania East"
"287",0.896,4.733,"289","3","Asia"
"288",0.256,2.879,"290","5","Oceania East"
"289",0.011,0.397,"291","3","Asia"
"290",686.065,184.047,"292","4","Australia"
"291",0.512,3.241,"293","4","Australia"
"292",0.087,1.412,"294","1","Africa"
"293",0,0.079,"295","1","Africa"
"294",51.115,41.5,"296","1","Africa"
"295",0.001,0.177,"297","5","Oceania East"
"296",0.044,0.843,"298","1","Africa"
"297",0.144,1.495,"299","5","Oceania West"
"298",0.007,0.371,"300","5","Oceania West"
"299",0.014,0.6,"301","5","Oceania West"
"300",0.356,3.238,"302","5","Oceania East"
"301",0.011,0.418,"303","1","Africa"
"302",0.487,4.997,"304","5","Oceania East"
"303",0.028,0.724,"305","5","Oceania West"
"304",0.012,0.541,"306","5","Oceania East"
"305",0,0.093,"307","1","Africa"
"306",0.943,3.975,"308","5","Oceania East"
"307",0.098,1.378,"309","5","Oceania West"
"308",0.021,0.541,"310","5","Oceania West"
"309",0.176,1.584,"311","1","Africa"
"310",1.452,8.107,"312","5","Oceania East"
"311",0.23,1.81,"313","1","Africa"
"312",0.027,0.868,"314","5","Oceania West"
"313",0.006,0.299,"315","5","Oceania West"
"314",0.004,0.234,"316","5","Oceania West"
"315",0.005,0.26,"317","5","Oceania East"
"316",11.813,32.649,"318","5","Oceania East"
"317",0.449,3.781,"319","4","Australia"
"318",16.908,28.296,"320","5","Oceania East"
"319",7.057,14.215,"321","4","Australia"
"320",0.902,5.509,"322","6","South America"
"321",0.896,8.122,"323","2","Antarctica"
"322",0.825,5.25,"324","6","South America"
"323",0.878,8.263,"325","6","South America"
"324",0.598,6.131,"326","6","South America"
"325",0.011,0.931,"327","0","South America"
"326",6.486,26.971,"328","6","South America"
"327",0.212,3.828,"329","6","South America"
"328",0.054,1.08,"330","2","Antarctica"
"329",0.545,5.61,"331","6","South America"
"330",0.502,6.009,"332","2","Antarctica"
"331",0.008,0.357,"333","2","Antarctica"
"332",0.358,3.303,"334","6","South America"
"333",0.648,8.233,"335","6","South America"
"334",5969.813,1191.402,"336","2","Antarctica"
"335",0.82,5.143,"337","2","Antarctica"
"336",13.193,35.919,"338","2","Antarctica"
"337",0.826,6.584,"339","2","Antarctica"
"338",2.695,23.027,"340","2","Antarctica"
"339",0.885,5.844,"341","2","Antarctica"
"340",1.007,5.534,"342","2","Antarctica"
"341",1.58,8.37,"343","2","Antarctica"
"342",2.099,10.323,"344","2","Antarctica"
"343",0.975,8.318,"345","2","Antarctica"
"344",19.64,31.244,"346","2","Antarctica"
"345",2.241,9.641,"347","2","Antarctica"
"346",3.652,11.068,"348","2","Antarctica"
"347",3.326,14.929,"349","2","Antarctica"
