T20,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
28,Antigua and Barbuda,2010,Major trading partner 3 (% of exports),Netherlands,,0.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2015,Major trading partner 3 (% of exports),Netherlands,,0.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2020,Major trading partner 3 (% of exports),Netherlands,,7.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2010,Major trading partner 3 (% of imports),Japan,,2.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2015,Major trading partner 3 (% of imports),Japan,,3.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2020,Major trading partner 3 (% of imports),Japan,,4.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2010,Major trading partner 1 (% of exports),Brazil,,21.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2015,Major trading partner 1 (% of exports),Brazil,,17.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2020,Major trading partner 1 (% of exports),Brazil,,14.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2010,Major trading partner 1 (% of imports),China,,13.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2015,Major trading partner 1 (% of imports),China,,19.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2020,Major trading partner 1 (% of imports),China,,20.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2010,Major trading partner 2 (% of exports),China,,8.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2015,Major trading partner 2 (% of exports),China,,9.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2020,Major trading partner 2 (% of exports),China,,9.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2010,Major trading partner 2 (% of imports),Brazil,,32.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2015,Major trading partner 2 (% of imports),Brazil,,21.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2020,Major trading partner 2 (% of imports),Brazil,,20.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2010,Major trading partner 3 (% of exports),United States,,5.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2015,Major trading partner 3 (% of exports),United States,,6.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2020,Major trading partner 3 (% of exports),United States,,6.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2010,Major trading partner 3 (% of imports),United States,,11.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2015,Major trading partner 3 (% of imports),United States,,13.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
32,Argentina,2020,Major trading partner 3 (% of imports),United States,,10.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2010,Major trading partner 1 (% of exports),Russian Federation,,17.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2015,Major trading partner 1 (% of exports),Russian Federation,,15.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2020,Major trading partner 1 (% of exports),Russian Federation,,26.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2010,Major trading partner 1 (% of imports),Russian Federation,,22.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2015,Major trading partner 1 (% of imports),Russian Federation,,30.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2020,Major trading partner 1 (% of imports),Russian Federation,,32.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2010,Major trading partner 2 (% of exports),Switzerland,,1.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2015,Major trading partner 2 (% of exports),Switzerland,,2.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2020,Major trading partner 2 (% of exports),Switzerland,,18.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2010,Major trading partner 2 (% of imports),China,,10.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2015,Major trading partner 2 (% of imports),China,,9.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2020,Major trading partner 2 (% of imports),China,,14.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2010,Major trading partner 3 (% of exports),China,,3.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2015,Major trading partner 3 (% of exports),China,,11.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2020,Major trading partner 3 (% of exports),China,,11.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2010,Major trading partner 3 (% of imports),Iran,,5.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2015,Major trading partner 3 (% of imports),Iran,,6.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
51,Armenia,2020,Major trading partner 3 (% of imports),Iran,,6.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
533,Aruba,2010,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,3.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
533,Aruba,2015,Major trading partner 1 (% of exports),Areas nes,Areas not elsewhere specified.,14.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
